Place Player Rating Mu Sigma #Matches #Forfeits
272 ZachSK 16.669 18.208 1.027 23 13
273 xxshuzoxx 16.605 18.637 1.354 16 0
274 hugphoenix 16.544 19.446 1.935 6 4
275 LivelyRaccoon 16.461 19.098 1.758 9 4
276 phoenixremeter 16.425 19.286 1.907 6 3
277 behold3r 16.366 18.536 1.447 14 9
278 grygor 16.352 18.343 1.327 14 3
279 traviktox 16.269 18.32 1.367 13 10
280 sumichu 16.174 18.911 1.825 7 2
281 thespinbeast 16.16 17.69 1.02 23 15
282 starrlightsims 15.988 18.365 1.585 9 6
283 FdRstar 15.958 17.649 1.127 16 5
284 yd12k 15.907 18.535 1.752 8 3
285 ancientpower 15.892 18.996 2.069 6 2
286 lidistus 15.869 18.986 2.078 6 1
287 negaZeus 15.861 17.739 1.252 15 0
288 melodia 15.827 18.287 1.64 9 8
289 xacerimmerx 15.8 18.125 1.551 12 8
290 CTConqueror 15.78 18.52 1.827 7 2
291 x10power 15.697 18.674 1.984 7 2
292 Joelcas 15.681 17.035 0.902 27 11
293 oddyesy 15.6 18.413 1.875 6 4
294 hopeisnotlost 15.559 18.246 1.791 8 2
295 footdive 15.471 17.774 1.535 10 6
296 prisiii3 15.438 18.662 2.15 6 0
297 crokeyy 15.422 17.195 1.182 17 10
298 Wishful 15.395 17.717 1.548 10 3
299 Theworm826 15.337 17.485 1.432 12 7
300 divebuster 15.31 17.997 1.791 7 5
301 SOMETHING915 15.265 19.061 2.531 6 2
302 Pedgeth 15.122 16.658 1.024 23 16
303 parkraft123 15.097 17.128 1.354 15 9
304 ZemeckisLebowski 15.096 16.936 1.226 15 12
305 twanman 14.965 17.721 1.837 7 4
306 marenthyu 14.828 16.348 1.013 22 10
307 ViruseReturns 14.763 17.74 1.985 6 5
308 Xelnas 14.715 17.491 1.85 7 6
309 ikarius031 14.648 16.964 1.544 10 7
310 Reboot 14.636 16.005 0.913 32 4
311 Carrotinator 14.553 16.553 1.334 13 7
312 wusupyo517 14.522 16.741 1.479 10 6
313 johnbeeve10 14.401 17.748 2.231 6 5
314 Chrno 14.243 16.915 1.781 8 7
315 Millnium 14.213 16.904 1.794 11 8
316 miets 14.11 16.321 1.474 10 4
317 greenshyguy 14.007 16.029 1.348 14 6
318 Zimmycakes 13.975 15.69 1.143 22 1
